idx,original,paraphrased
0,รอกันมา 2 สัปดาห์ บอลสโมสรลีกต่างๆของยุโรปก็กลับมาดวลแข้งกันอีกครั้งในวีกนี้ ช่วงฟีฟ่าเดย์ รอบล่าสุดทิ้งทวนคัดบอลโลก มีประเด็นให้ฮือฮากันหลังจากอิตาลี หนึ่งในทีมอมตะของวงการลูกหนังโลก,เมื่อผ่านไป 2 สัปดาห์แล้ว ฟุตบอลสโมสรในลีกต่างๆของยุโรปก็กลับมาระลึกถึงการแข่งขันกันอีกครั้งในวีกนี้ ในช่วงเดือนธันวาคม ที่ผ่านมา มีเรื่องราวที่น่าสนใจหลังจากทีมชาติอิตาลี หนึ่งในทีมอยุทธสัมพันธ์ของโลก
1,รองผู้ว่าราชการจังหวัดภูเก็ตลงพื้นที่ตรวจสอบเกาะนาคาน้อย ภายหลังที่ ครอบครัว หิรัญพฤกษ์ ออกมาระบุว่า มีกลุ่มชายฉกรรจ์เตรียมเข้ามาแผ้วถางพื้นที่บนเกาะ และข่มขู่ ,พระองค์ในฐานะผู้ว่าราชการจังหวัดภูเก็ตจะออกไปตรวจสอบเกาะนาคาน้อย หลังจากที่ครอบครัวหิรัญพฤกษ์ว่ามีกลุ่มชายกำลังเตรียมเข้ามาล่าศัตรูบนเกาะและข่มขู่
2,พาณิชย์ ยืนเป้าส่งออกปีนี้ยังเติบโต 5% ไว้เป็นกำลังใจในการทำงาน แม้เศรษฐกิจโลกจะชะลอตัว จ่อปรับแผนส่งออกใหม่ หวังเจาะตลาดใหม่ๆให้เข้าเป้า ดันยอดเพิ่ม เล็งหารือเป็นรายกลุ่ม กรมส่งเสริมการค้าระหว่างประเทศเซ็นเอ็มโอยูหน่วยงาน,พาณิชย์เป้าหยุดเวลาปีนี้เพิ่มขึ้น 5% เป็นกำลังใจสำหรับการทำงาน แม้เศรษฐกิจโลกจะติดขัด ต้องปรับแผนส่งออกใหม่ เพื่อหวังให้เข้าสู่ตลาดใหม่ และเพิ่มยอดการส่งออก มีแผนร่วมกับหน่วยงานของกรมส่งเสริมการค้าระหว่างประเทศเซ็นเอ็มโอยูได้
4,ชาวบ้านหมู่ 1 ต.บ้านกลาง อ.อ่าวลึก จ.กระบี่ ออกมาลงคะแนนเลือกตั้งผู้ใหญ่บ้านคนใหม่ แทน ผู้ใหญ่บัติ ที่ถูกฆ่าพร้อมครอบครัว 8 ศพ จนท.ยังคุ้มกันหนาแน่น 3 พยาน ขณะที่พ่อตาคนตายวอนภาครัฐช่วยเรื่องถูกโกงที่ดิน  ,ชาวบ้านในหมู่บ้านที่ 1 ที่ตั้งอยู่ในตำบลบ้านกลาง อำเภออ่าวลึก จังหวัดกระบี่ ได้ประชุมเพื่อลงคะแนนเลือกตั้งผู้ใหญ่บ้านใหม่ เพื่อแทนที่ผู้ใหญ่บ้านเดิมที่ถูกฆ่าพร้อมกับครอบครัว จำนวน 8 ศพ และขณะที่เหล่าพยาน 3 คนกำลังป้องกันตัวมัน เมื่อพ่อบ้านที่เสียชีวิตเมื่อวันก่อนได้วอนอภัยกับภาครัฐเกี่ยวกับคดีโกงที่ดินที่เกิดขึ้น
5,ยายวัย 62 ปีเหยื่อรถแรลลี่ข้ามจังหวัดถูกรถชนกระเด็นดับ ขณะที่ เจ้าของรถแรลลี่ไม่เหลียวแล จนศพใกล้เผา จึงส่งทีมเข้าช่วยเหลือ มอบเงินเยียวยา ส่วนญาติให้เจ้าหน้าที่ติดตามตัวคนชนดำเนินคดีตามกฎหมาย ,ยายอายุ 62 ปีผู้เสียชีวิตในอุบัติเหตุการชนรถแรลลี่ที่เกิดขึ้นในจังหวัดหนึ่ง ขณะที่เจ้าของรถแรลลี่ไม่หันไปดูเหตุการณ์ จนกระทั่งแฟล็ตศพใกล้ถูกเผาล้าง ดังนั้นจึงต้องมีทีมช่วยเหลือเข้ามาให้ความช่วยเหลือ และมอบเงินช่วยเหลือด้านยายา ในขณะเดียวกันญาติของผู้เสียชีวิตได้มอบให้เจ้าหน้าที่ที่จะติดตามกรณีดำเนินคดีตามกฎหมาย
6,มาร์ค พิวจ์ ยิงประตูชัยช่วยให้ เดอะ เชอร์รีส์ บอร์นมัธ เปิดบ้านเอาชนะ จิ้งจอกสยาม เลสเตอร์ ซิตี้ ไป 1-0 เก็บ 3 คะแนนสำคัญ ขยับขึ้นที่ 8 ของตาราง ในศึกพรีเมียร์ลีก อังกฤษ,มาร์ค พิวจ์ เป็นผู้ที่ยิงประตูชัยช่วยให้สโมสร เดอะ เชอร์รีส์ บอร์นมัธ เปิดบ้านและเอาชนะสโมสรจิ้งจอกสยาม เลสเตอร์ ซิตี้ ด้วยคะแนน 1-0 ซึ่งทำให้เขาได้รับ 3 คะแนนสำคัญเพื่อเลื่อนขึ้นอันดับที่ 8 ในตารางการแข่งขันในพรีเมียร์ลีก อังกฤษ
7,เปาวลีรับดูใจเอิร์ธ กานต์ ลูกชายซูโม่กิ๊กมานาน 4 ปีแล้ว ย้ำไม่ได้ปิดบังเรื่องความรัก เผยฝ่ายชายเข้าใจการทำงานเพราะอีกฝ่ายทำงานเบื้องหลัง ไม่ค่อยมีเวลาเจอกันเพราะงานเยอะ แฟนคลับเข้าใจไร้ปัญหา,เปาวลีรับดูแลชายซูโม่กิ๊กลูกชายของเธอมานาน 4 ปีแล้วโดยเฉพาะในเรื่องความรัก เธอเตือนลูกชายว่าไม่ควรปิดบังเรื่องราวนี้ และเธอเผยแผ่ว่าชายซูโม่เข้าใจเธอเกี่ยวกับงานที่ทำเพราะฝ่ายเข้าใจว่าเธอต้องทำงานเบื้องหลังอยู่ตลอดเวลา นอกจากนี้ แฟนคลับของเธอยังเข้าใจเธออย่างไม่มีปัญหาเช่นกัน
8,วิษณุ ระบุ ประชุมร่วม ครม.-คสช.19 พ.ค. เคาะแก้ รธน.ชั่วคราว เปิดประตูรองรับ ถ้าทำประชามติ เผย ครม.จ้องหั่น ร่าง รธน.เพียบ รวมถึง ม.181-182 ส่วนนายกฯ คนนอกต้องเขียนข้อยกเว้นให้ชัด เล็ง สร้างอำนาจให้รบ.ใหม่จัดการขรก.เอี่ยวโกง,วิษณุบอกว่าในการประชุมร่วมระหว่างครม.-คสช.ในวันที่ 19 พฤษภาคม เกิดการโหวตเพื่อแก้ไขรัฐธรรมนูญชั่วคราว เพื่อเปิดประตูให้รองรับกรณีที่มีการลงมติประชาชน ระบุว่าครม.ต้องการแก้ไขร่างรัฐธรรมนูญที่ครลำพึงให้ด้วย ทั้งรวมถึงมาตรา 181-182 นอกจากนี้ นายกรัฐมนตรีคนนอกยังต้องเขียนคำอธิบายเพิ่มเติมให้ชัดเจนเพื่อสร้างอำนาจใหม่ให้กับกองทัพในการจัดการปัญหาที่เกี่ยวข้องให้ได้
9,โรงงานปั่นฝ้ายย่านพระสมุทรเจดีย์ ไฟไหม้ช่วงกลางดึก ผู้ช่วยผู้ใหญ่บ้านเผย ได้ยินเสียงระเบิดก่อนเห็นเปลวเพลิง รีบแจ้ง จนท.ดับเพลิง ระดมฉีดน้ำกว่า 1 ชั่วโมง,โรงงานที่ปั่นฝ้ายในพระสมุทรเจดีย์ได้เกิดเหตุไฟไหม้ช่วงเวลากลางคืน ผู้ช่วยผู้ใหญ่บ้านรายงานว่าได้ยินเสียงระเบิดก่อนที่จะเห็นเปลวเพลิง จึงรีบแจ้งทีมดับเพลิงและรณรงค์สำรวจและสูบน้ำเพื่อดับเพลิงนานกว่าหนึ่งชั่วโมง
10,รอง ผบช.น. ตรวจโครงการบ้านสีขาว สน.หัวหมาก พบสารเสพติดในร่างกายเป็นชาย 1 คน นำตัวสอบละเอียดก่อนส่งบำบัด ชี้ ผลงานโดยรวมน่าพอใจ ชาวบ้านช่วยสอดส่อง แจ้งเหตุอาชญากรรม-ยาเสพติด ,พบว่า ผู้คนบ้านหัวหมากมีคนเข้ามาตรวจโครงการบ้านสีขาว ซึ่งเป็นผู้บังคับบัญชาในรายการนี้ พวกเขาพบว่ามีสารเสพติดอยู่ในร่างกายของชายคนหนึ่ง จึงจำเป็นที่จะต้องสอบสวนให้ละเอียดก่อนที่จะส่งไปรักษา ผู้บังคับบัญชาได้ชี้แจงว่าผลงานของทุกคนเป็นไปตามที่คาดหวัง และขอให้ชาวบ้านช่วยตรวจสอบและแจ้งเหตุการณ์ที่เกี่ยวข้องกับการกระทำอาชญากรรมและยาเสพติด
